gender,body_shape,skin_tone,hair_color,personal_color,style,destination,weather,outfit_top,outfit_bottom,outfit_shoes,outfit_accessories,reason
Male,Apple,Medium,Black,Summer,Bohemian,Beach,Sunny & Warm,Denim jacket,High-waisted denim shorts,High-top sneakers,"Pearl earrings, clutch bag",Shoes are comfortable for long walks.
Female,Pear,Tan,Brown,Winter,Bohemian,Wedding Invitation,Rainy & Cool,Polo shirt,Jogger pants,White sneakers,"Straw hat, sunglasses",Soft colors and flowy fabrics suit the occasion and body shape.
Male,Hourglass,Tan,Black,Winter,Streetwear,Travel,Cold & Windy,Flowy tank top,A-line floral skirt,Slip-on shoes,"Leather backpack, watch",The outfit is easy to mix and match.
Male,Hourglass,Medium,Black,Spring,Bohemian,Casual Outing,Mild & Pleasant,Striped t-shirt,Maxi skirt,Espadrille sandals,Minimalist bracelet,Breathable fabrics and loose fits are perfect for travel in hot weather.
Male,Apple,Medium,Blonde,Summer,Elegant,Wedding Invitation,Cold & Windy,White linen blouse,Jogger pants,Brown loafers,Minimalist bracelet,The outfit is easy to mix and match.
Female,Apple,Dark,Black,Summer,Elegant,Beach,Cold & Windy,Light blue oxford shirt,Slim-fit jeans,Flat sandals,"Beanie, scarf",Shoes are comfortable for long walks.
Male,Triangle,Light,Black,Winter,Streetwear,Wedding Invitation,Mild & Pleasant,White linen blouse,Navy chinos,Ballet flats,"Leather backpack, watch",Layering keeps you warm and stylish for casual outings.
Male,Rectangle,Tan,Red,Summer,Smart Casual,Beach,Mild & Pleasant,Polo shirt,Slim-fit jeans,Flat sandals,Silk scarf,Colors are chosen to match your personal palette.
Male,Pear,Medium,Black,Winter,Casual,Hangout,Sunny & Warm,Oversized hoodie,Wide-leg linen pants,Espadrille sandals,"Waterproof trench coat, leather belt",Soft colors and flowy fabrics suit the occasion and body shape.
Male,Pear,Light,Gray,Autumn,Casual,Hangout,Mild & Pleasant,Loose cotton tunic,Maxi skirt,White sneakers,"Leather backpack, watch",Layering keeps you warm and stylish for casual outings.
Male,Hourglass,Tan,Gray,Summer,Elegant,Hangout,Rainy & Cool,Striped t-shirt,Cargo pants,Ballet flats,"Beanie, scarf",Smart layers keep you dry and professional.
Female,Rectangle,Olive,Red,Summer,Formal,Casual Outing,Rainy & Cool,Loose cotton tunic,A-line floral skirt,Flat sandals,"Beanie, scarf",Soft colors and flowy fabrics suit the occasion and body shape.
Male,Rectangle,Light,Gray,Summer,Elegant,Job Interview,Rainy & Cool,Pastel silk blouse,Maxi skirt,Ballet flats,"Crossbody bag, floppy hat",Soft colors and flowy fabrics suit the occasion and body shape.
Male,Pear,Olive,Blonde,Winter,Streetwear,Wedding Invitation,Mild & Pleasant,Flowy tank top,Wide-leg linen pants,Slip-on shoes,Minimalist bracelet,Classic pieces ensure comfort and style.
Male,Rectangle,Tan,Blonde,Spring,Casual,Travel,Cold & Windy,Light blue oxford shirt,Jogger pants,Black boots,"Beanie, scarf",Smart layers keep you dry and professional.
Female,Pear,Tan,Brown,Autumn,Streetwear,Hangout,Rainy & Cool,Polo shirt,Jogger pants,White sneakers,Minimalist bracelet,The outfit is easy to mix and match.
Female,Rectangle,Olive,Red,Autumn,Formal,Hangout,Cold & Windy,Loose cotton tunic,Navy chinos,Nude heels,"Beanie, scarf",The outfit is easy to mix and match.
Female,Pear,Medium,Red,Autumn,Smart Casual,Beach,Rainy & Cool,Light blue oxford shirt,Cargo pants,Flat sandals,Silk scarf,Shoes are comfortable for long walks.
Female,Pear,Light,Gray,Spring,Smart Casual,Beach,Sunny & Warm,Denim jacket,Wide-leg linen pants,Nude heels,"Beanie, scarf",Accessories add a personal touch to your look.
Male,Rectangle,Olive,Brown,Spring,Bohemian,Beach,Cold & Windy,Striped t-shirt,Wide-leg linen pants,Nude heels,Silk scarf,The outfit is easy to mix and match.
Female,Rectangle,Tan,Gray,Winter,Smart Casual,Job Interview,Mild & Pleasant,White linen blouse,Maxi skirt,Espadrille sandals,"Waterproof trench coat, leather belt",Accessories add a personal touch to your look.
Female,Triangle,Olive,Gray,Summer,Casual,Travel,Hot & Humid,White linen blouse,Navy chinos,White sneakers,Minimalist bracelet,Classic pieces ensure comfort and style.
Female,Rectangle,Medium,Red,Autumn,Elegant,Wedding Invitation,Rainy & Cool,Polo shirt,Navy chinos,Espadrille sandals,"Pearl earrings, clutch bag",Shoes are comfortable for long walks.
Male,Pear,Medium,Blonde,Summer,Casual,Travel,Rainy & Cool,Flowy tank top,Maxi skirt,Nude heels,Minimalist bracelet,Accessories add a personal touch to your look.
Male,Triangle,Tan,Blonde,Spring,Streetwear,Formal Meeting,Sunny & Warm,Pastel silk blouse,Cargo pants,Flat sandals,"Crossbody bag, floppy hat",Layering keeps you warm and stylish for casual outings.
Male,Apple,Tan,Gray,Winter,Smart Casual,Campus,Mild & Pleasant,Oversized hoodie,Wide-leg linen pants,Brown loafers,"Beanie, scarf",Accessories add a personal touch to your look.
Male,Pear,Medium,Brown,Winter,Elegant,Formal Meeting,Rainy & Cool,Flowy tank top,High-waisted denim shorts,High-top sneakers,"Crossbody bag, floppy hat",Light fabrics keep you cool and accessories protect from the sun.
Male,Apple,Medium,Blonde,Autumn,Formal,Beach,Sunny & Warm,Pastel silk blouse,Slim-fit jeans,Black boots,Statement necklace,Shoes are comfortable for long walks.
Female,Hourglass,Light,Red,Spring,Formal,Casual Outing,Hot & Humid,Polo shirt,High-waisted denim shorts,White sneakers,Statement necklace,Accessories add a personal touch to your look.
Female,Hourglass,Medium,Red,Autumn,Smart Casual,Wedding Invitation,Hot & Humid,White linen blouse,Maxi skirt,Nude heels,Silk scarf,Light fabrics keep you cool and accessories protect from the sun.
Female,Hourglass,Medium,Blonde,Autumn,Formal,Hangout,Cold & Windy,Flowy tank top,High-waisted denim shorts,High-top sneakers,"Pearl earrings, clutch bag",Classic pieces ensure comfort and style.
Female,Pear,Olive,Black,Winter,Elegant,Campus,Sunny & Warm,Pastel silk blouse,Wide-leg linen pants,Nude heels,"Beanie, scarf",Breathable fabrics and loose fits are perfect for travel in hot weather.
Male,Hourglass,Dark,Gray,Spring,Smart Casual,Job Interview,Cold & Windy,White linen blouse,Wide-leg linen pants,Black boots,"Waterproof trench coat, leather belt",Smart layers keep you dry and professional.
Female,Pear,Light,Red,Spring,Streetwear,Hangout,Rainy & Cool,Denim jacket,Wide-leg linen pants,Brown loafers,"Leather backpack, watch",Smart layers keep you dry and professional.
Female,Rectangle,Light,Red,Spring,Casual,Casual Outing,Mild & Pleasant,Pastel silk blouse,A-line floral skirt,Nude heels,"Leather backpack, watch",Shoes are comfortable for long walks.
Female,Apple,Tan,Gray,Autumn,Streetwear,Job Interview,Sunny & Warm,Pastel silk blouse,Maxi skirt,Ballet flats,Silk scarf,The outfit is easy to mix and match.
Female,Apple,Dark,Gray,Spring,Smart Casual,Formal Meeting,Rainy & Cool,Light blue oxford shirt,Slim-fit jeans,High-top sneakers,"Beanie, scarf",Shoes are comfortable for long walks.
Female,Triangle,Tan,Black,Spring,Elegant,Beach,Cold & Windy,White linen blouse,High-waisted denim shorts,Flat sandals,Silk scarf,Smart layers keep you dry and professional.
Male,Pear,Medium,Gray,Winter,Bohemian,Travel,Cold & Windy,Denim jacket,A-line floral skirt,Nude heels,Statement necklace,Shoes are comfortable for long walks.
Female,Hourglass,Medium,Brown,Autumn,Formal,Beach,Mild & Pleasant,White linen blouse,Pleated trousers,Brown loafers,"Leather backpack, watch",Soft colors and flowy fabrics suit the occasion and body shape.
Female,Rectangle,Tan,Red,Summer,Smart Casual,Wedding Invitation,Cold & Windy,Oversized hoodie,A-line floral skirt,White sneakers,"Crossbody bag, floppy hat",Breathable fabrics and loose fits are perfect for travel in hot weather.
Female,Apple,Dark,Blonde,Autumn,Casual,Casual Outing,Sunny & Warm,Polo shirt,Cargo pants,Espadrille sandals,Silk scarf,Soft colors and flowy fabrics suit the occasion and body shape.
Female,Rectangle,Medium,Blonde,Autumn,Bohemian,Beach,Hot & Humid,Polo shirt,Maxi skirt,White sneakers,"Pearl earrings, clutch bag",Soft colors and flowy fabrics suit the occasion and body shape.
Male,Hourglass,Dark,Blonde,Winter,Bohemian,Campus,Hot & Humid,Oversized hoodie,Jogger pants,Flat sandals,"Beanie, scarf",Smart layers keep you dry and professional.
Female,Pear,Light,Brown,Summer,Elegant,Travel,Hot & Humid,Polo shirt,Jogger pants,White sneakers,"Beanie, scarf",Classic pieces ensure comfort and style.
Male,Triangle,Tan,Gray,Autumn,Casual,Wedding Invitation,Rainy & Cool,Striped t-shirt,A-line floral skirt,Espadrille sandals,"Waterproof trench coat, leather belt",Breathable fabrics and loose fits are perfect for travel in hot weather.
Female,Apple,Dark,Red,Spring,Formal,Casual Outing,Cold & Windy,Loose cotton tunic,Maxi skirt,High-top sneakers,Minimalist bracelet,Breathable fabrics and loose fits are perfect for travel in hot weather.
Female,Triangle,Medium,Brown,Spring,Bohemian,Beach,Hot & Humid,White linen blouse,Pleated trousers,White sneakers,"Waterproof trench coat, leather belt",The outfit is easy to mix and match.
Female,Triangle,Medium,Red,Summer,Streetwear,Travel,Rainy & Cool,Polo shirt,A-line floral skirt,Flat sandals,Silk scarf,Layering keeps you warm and stylish for casual outings.
Male,Rectangle,Olive,Black,Spring,Formal,Casual Outing,Cold & Windy,Light blue oxford shirt,Wide-leg linen pants,Slip-on shoes,Minimalist bracelet,Classic pieces ensure comfort and style.
Female,Pear,Light,Blonde,Spring,Smart Casual,Job Interview,Rainy & Cool,Oversized hoodie,Navy chinos,Brown loafers,Silk scarf,Soft colors and flowy fabrics suit the occasion and body shape.
Female,Hourglass,Dark,Black,Winter,Casual,Wedding Invitation,Cold & Windy,Oversized hoodie,Maxi skirt,Black boots,Minimalist bracelet,Smart layers keep you dry and professional.
Male,Pear,Dark,Blonde,Winter,Smart Casual,Casual Outing,Mild & Pleasant,White linen blouse,A-line floral skirt,Black boots,Statement necklace,Classic pieces ensure comfort and style.
Male,Triangle,Light,Brown,Autumn,Casual,Campus,Hot & Humid,Denim jacket,Pleated trousers,Ballet flats,"Crossbody bag, floppy hat",Soft colors and flowy fabrics suit the occasion and body shape.
Male,Apple,Medium,Brown,Winter,Bohemian,Wedding Invitation,Mild & Pleasant,Striped t-shirt,Jogger pants,Nude heels,"Straw hat, sunglasses",The outfit is easy to mix and match.
Female,Pear,Medium,Brown,Summer,Streetwear,Wedding Invitation,Rainy & Cool,Polo shirt,Wide-leg linen pants,Espadrille sandals,"Pearl earrings, clutch bag",Light fabrics keep you cool and accessories protect from the sun.
Female,Hourglass,Olive,Red,Summer,Bohemian,Campus,Rainy & Cool,Loose cotton tunic,Slim-fit jeans,Black boots,Statement necklace,Breathable fabrics and loose fits are perfect for travel in hot weather.
Male,Rectangle,Tan,Brown,Winter,Elegant,Wedding Invitation,Hot & Humid,White linen blouse,A-line floral skirt,Espadrille sandals,"Pearl earrings, clutch bag",Light fabrics keep you cool and accessories protect from the sun.
Female,Pear,Olive,Gray,Winter,Streetwear,Hangout,Rainy & Cool,Striped t-shirt,Navy chinos,Slip-on shoes,Minimalist bracelet,Classic pieces ensure comfort and style.
Female,Apple,Tan,Gray,Summer,Bohemian,Formal Meeting,Cold & Windy,Oversized hoodie,Maxi skirt,Slip-on shoes,"Pearl earrings, clutch bag",Light fabrics keep you cool and accessories protect from the sun.
Female,Apple,Dark,Gray,Winter,Bohemian,Travel,Mild & Pleasant,Polo shirt,Jogger pants,Ballet flats,Statement necklace,Colors are chosen to match your personal palette.
Female,Hourglass,Tan,Black,Spring,Elegant,Job Interview,Hot & Humid,Oversized hoodie,Slim-fit jeans,Black boots,Statement necklace,Light fabrics keep you cool and accessories protect from the sun.
Male,Hourglass,Olive,Gray,Summer,Casual,Travel,Hot & Humid,White linen blouse,Wide-leg linen pants,Ballet flats,Silk scarf,Breathable fabrics and loose fits are perfect for travel in hot weather.
Male,Pear,Olive,Gray,Autumn,Bohemian,Formal Meeting,Hot & Humid,Loose cotton tunic,Pleated trousers,Espadrille sandals,"Pearl earrings, clutch bag",Colors are chosen to match your personal palette.
Male,Pear,Olive,Black,Autumn,Formal,Campus,Hot & Humid,Polo shirt,Pleated trousers,Black boots,Statement necklace,Breathable fabrics and loose fits are perfect for travel in hot weather.
Female,Hourglass,Olive,Brown,Spring,Formal,Beach,Cold & Windy,Pastel silk blouse,Wide-leg linen pants,Flat sandals,"Beanie, scarf",Classic pieces ensure comfort and style.
Male,Pear,Dark,Black,Autumn,Casual,Travel,Hot & Humid,Light blue oxford shirt,Wide-leg linen pants,Nude heels,"Straw hat, sunglasses",Layering keeps you warm and stylish for casual outings.
Female,Rectangle,Olive,Black,Autumn,Elegant,Hangout,Hot & Humid,Light blue oxford shirt,Wide-leg linen pants,Espadrille sandals,"Leather backpack, watch",Accessories add a personal touch to your look.
Female,Pear,Light,Gray,Autumn,Smart Casual,Casual Outing,Hot & Humid,Oversized hoodie,Cargo pants,White sneakers,"Waterproof trench coat, leather belt",The outfit is easy to mix and match.
Female,Apple,Medium,Red,Spring,Elegant,Campus,Mild & Pleasant,Flowy tank top,Slim-fit jeans,Slip-on shoes,"Straw hat, sunglasses",Accessories add a personal touch to your look.
Male,Rectangle,Medium,Gray,Winter,Casual,Casual Outing,Hot & Humid,Flowy tank top,Cargo pants,White sneakers,"Waterproof trench coat, leather belt",Layering keeps you warm and stylish for casual outings.
Male,Rectangle,Dark,Blonde,Summer,Casual,Wedding Invitation,Sunny & Warm,Polo shirt,A-line floral skirt,High-top sneakers,"Pearl earrings, clutch bag",Layering keeps you warm and stylish for casual outings.
Female,Apple,Olive,Red,Winter,Elegant,Wedding Invitation,Mild & Pleasant,Loose cotton tunic,Maxi skirt,Ballet flats,"Beanie, scarf",Light fabrics keep you cool and accessories protect from the sun.
Female,Triangle,Tan,Gray,Autumn,Casual,Campus,Rainy & Cool,Oversized hoodie,Cargo pants,Black boots,"Crossbody bag, floppy hat",Colors are chosen to match your personal palette.
Female,Triangle,Light,Red,Spring,Casual,Wedding Invitation,Rainy & Cool,White linen blouse,High-waisted denim shorts,Brown loafers,Silk scarf,Accessories add a personal touch to your look.
Female,Hourglass,Light,Brown,Winter,Casual,Formal Meeting,Cold & Windy,Denim jacket,Jogger pants,Brown loafers,"Crossbody bag, floppy hat",Shoes are comfortable for long walks.
Female,Pear,Medium,Gray,Winter,Bohemian,Job Interview,Mild & Pleasant,Flowy tank top,Cargo pants,Flat sandals,"Waterproof trench coat, leather belt",Classic pieces ensure comfort and style.
Male,Triangle,Tan,Black,Summer,Casual,Job Interview,Mild & Pleasant,Loose cotton tunic,A-line floral skirt,High-top sneakers,"Waterproof trench coat, leather belt",Layering keeps you warm and stylish for casual outings.
Male,Rectangle,Olive,Red,Winter,Elegant,Travel,Hot & Humid,Oversized hoodie,Slim-fit jeans,Flat sandals,"Leather backpack, watch",Colors are chosen to match your personal palette.
Female,Hourglass,Medium,Black,Summer,Streetwear,Hangout,Sunny & Warm,White linen blouse,Navy chinos,White sneakers,Minimalist bracelet,Shoes are comfortable for long walks.
Female,Rectangle,Light,Black,Spring,Elegant,Beach,Hot & Humid,Loose cotton tunic,Pleated trousers,White sneakers,"Beanie, scarf",Accessories add a personal touch to your look.
Male,Rectangle,Medium,Blonde,Autumn,Bohemian,Job Interview,Sunny & Warm,Flowy tank top,Maxi skirt,High-top sneakers,"Waterproof trench coat, leather belt",The outfit is easy to mix and match.
Male,Triangle,Medium,Gray,Autumn,Bohemian,Campus,Cold & Windy,Striped t-shirt,Maxi skirt,Ballet flats,"Beanie, scarf",Soft colors and flowy fabrics suit the occasion and body shape.
Male,Triangle,Dark,Red,Summer,Bohemian,Campus,Rainy & Cool,Light blue oxford shirt,High-waisted denim shorts,White sneakers,Minimalist bracelet,The outfit is easy to mix and match.
Male,Triangle,Light,Blonde,Spring,Casual,Beach,Mild & Pleasant,Light blue oxford shirt,A-line floral skirt,Brown loafers,"Leather backpack, watch",The outfit is easy to mix and match.
Female,Hourglass,Dark,Brown,Spring,Elegant,Casual Outing,Cold & Windy,Polo shirt,Wide-leg linen pants,Slip-on shoes,Statement necklace,Light fabrics keep you cool and accessories protect from the sun.
Male,Triangle,Tan,Brown,Summer,Smart Casual,Beach,Hot & Humid,Polo shirt,A-line floral skirt,White sneakers,"Beanie, scarf",Shoes are comfortable for long walks.
Male,Triangle,Medium,Red,Winter,Formal,Formal Meeting,Mild & Pleasant,Light blue oxford shirt,High-waisted denim shorts,High-top sneakers,"Waterproof trench coat, leather belt",The outfit is easy to mix and match.
Male,Rectangle,Light,Blonde,Autumn,Elegant,Travel,Sunny & Warm,Striped t-shirt,Maxi skirt,Brown loafers,"Pearl earrings, clutch bag",Accessories add a personal touch to your look.
Female,Apple,Olive,Gray,Summer,Formal,Casual Outing,Sunny & Warm,Pastel silk blouse,Navy chinos,Nude heels,"Leather backpack, watch",Layering keeps you warm and stylish for casual outings.
Female,Hourglass,Tan,Brown,Spring,Streetwear,Hangout,Rainy & Cool,Oversized hoodie,High-waisted denim shorts,Flat sandals,"Crossbody bag, floppy hat",Classic pieces ensure comfort and style.
Female,Triangle,Dark,Red,Winter,Bohemian,Formal Meeting,Hot & Humid,Light blue oxford shirt,Maxi skirt,Nude heels,Silk scarf,The outfit is easy to mix and match.
Female,Rectangle,Medium,Black,Summer,Casual,Job Interview,Rainy & Cool,Loose cotton tunic,Jogger pants,White sneakers,"Crossbody bag, floppy hat",Smart layers keep you dry and professional.
Female,Triangle,Medium,Brown,Autumn,Smart Casual,Formal Meeting,Rainy & Cool,Flowy tank top,Maxi skirt,Slip-on shoes,Minimalist bracelet,Layering keeps you warm and stylish for casual outings.
Male,Hourglass,Dark,Blonde,Winter,Formal,Beach,Mild & Pleasant,Oversized hoodie,Wide-leg linen pants,Flat sandals,"Waterproof trench coat, leather belt",Soft colors and flowy fabrics suit the occasion and body shape.
Female,Pear,Olive,Blonde,Spring,Casual,Formal Meeting,Sunny & Warm,White linen blouse,Pleated trousers,Slip-on shoes,Statement necklace,Classic pieces ensure comfort and style.
Male,Pear,Medium,Red,Winter,Casual,Hangout,Sunny & Warm,Flowy tank top,Slim-fit jeans,Slip-on shoes,Statement necklace,Breathable fabrics and loose fits are perfect for travel in hot weather.
Male,Hourglass,Light,Black,Summer,Formal,Beach,Hot & Humid,Denim jacket,A-line floral skirt,Slip-on shoes,"Leather backpack, watch",Smart layers keep you dry and professional.
Female,Apple,Olive,Blonde,Winter,Casual,Campus,Sunny & Warm,Loose cotton tunic,Maxi skirt,White sneakers,Silk scarf,Layering keeps you warm and stylish for casual outings.
Female,Apple,Olive,Red,Autumn,Bohemian,Casual Outing,Hot & Humid,Striped t-shirt,Slim-fit jeans,Espadrille sandals,"Beanie, scarf",Colors are chosen to match your personal palette.
Male,Apple,Medium,Black,Spring,Streetwear,Job Interview,Cold & Windy,Pastel silk blouse,Navy chinos,Espadrille sandals,Statement necklace,Soft colors and flowy fabrics suit the occasion and body shape.
Female,Triangle,Tan,Gray,Spring,Elegant,Beach,Cold & Windy,Pastel silk blouse,Slim-fit jeans,Ballet flats,"Straw hat, sunglasses",Shoes are comfortable for long walks.
Female,Hourglass,Olive,Black,Summer,Smart Casual,Formal Meeting,Mild & Pleasant,Flowy tank top,Cargo pants,Espadrille sandals,Minimalist bracelet,Soft colors and flowy fabrics suit the occasion and body shape.
Female,Apple,Olive,Black,Summer,Bohemian,Hangout,Hot & Humid,Denim jacket,Pleated trousers,Brown loafers,"Waterproof trench coat, leather belt",Accessories add a personal touch to your look.
Male,Pear,Medium,Black,Summer,Casual,Wedding Invitation,Cold & Windy,Pastel silk blouse,Jogger pants,Brown loafers,"Crossbody bag, floppy hat",Classic pieces ensure comfort and style.
Female,Pear,Tan,Red,Summer,Bohemian,Formal Meeting,Hot & Humid,Oversized hoodie,Maxi skirt,High-top sneakers,"Leather backpack, watch",Light fabrics keep you cool and accessories protect from the sun.
Male,Pear,Tan,Brown,Spring,Elegant,Wedding Invitation,Cold & Windy,Oversized hoodie,Slim-fit jeans,White sneakers,"Beanie, scarf",Colors are chosen to match your personal palette.
Male,Triangle,Light,Black,Spring,Elegant,Campus,Hot & Humid,White linen blouse,Slim-fit jeans,High-top sneakers,"Beanie, scarf",Shoes are comfortable for long walks.
Male,Pear,Tan,Red,Autumn,Bohemian,Formal Meeting,Rainy & Cool,Light blue oxford shirt,High-waisted denim shorts,Nude heels,"Crossbody bag, floppy hat",Classic pieces ensure comfort and style.
Male,Rectangle,Olive,Blonde,Autumn,Smart Casual,Casual Outing,Cold & Windy,Striped t-shirt,Jogger pants,Brown loafers,"Leather backpack, watch",Light fabrics keep you cool and accessories protect from the sun.
Male,Apple,Light,Brown,Winter,Bohemian,Travel,Hot & Humid,Striped t-shirt,Slim-fit jeans,Black boots,Minimalist bracelet,Light fabrics keep you cool and accessories protect from the sun.
Female,Pear,Medium,Red,Autumn,Casual,Formal Meeting,Hot & Humid,Striped t-shirt,High-waisted denim shorts,Espadrille sandals,Silk scarf,Classic pieces ensure comfort and style.
Male,Rectangle,Tan,Blonde,Summer,Streetwear,Wedding Invitation,Rainy & Cool,Polo shirt,Navy chinos,Black boots,"Leather backpack, watch",The outfit is easy to mix and match.
Female,Hourglass,Medium,Black,Winter,Smart Casual,Wedding Invitation,Rainy & Cool,Denim jacket,Slim-fit jeans,Brown loafers,Silk scarf,The outfit is easy to mix and match.
Female,Rectangle,Light,Blonde,Winter,Smart Casual,Wedding Invitation,Sunny & Warm,Light blue oxford shirt,A-line floral skirt,Brown loafers,"Beanie, scarf",Accessories add a personal touch to your look.
Male,Hourglass,Medium,Red,Summer,Elegant,Job Interview,Sunny & Warm,White linen blouse,Pleated trousers,High-top sneakers,"Waterproof trench coat, leather belt",Light fabrics keep you cool and accessories protect from the sun.
Male,Hourglass,Olive,Red,Summer,Elegant,Hangout,Sunny & Warm,Polo shirt,A-line floral skirt,Nude heels,"Straw hat, sunglasses",Classic pieces ensure comfort and style.
Female,Hourglass,Tan,Gray,Spring,Elegant,Formal Meeting,Cold & Windy,Pastel silk blouse,Wide-leg linen pants,Flat sandals,Silk scarf,Colors are chosen to match your personal palette.
Female,Triangle,Olive,Red,Spring,Streetwear,Beach,Cold & Windy,White linen blouse,A-line floral skirt,Nude heels,"Leather backpack, watch",Smart layers keep you dry and professional.
Female,Rectangle,Dark,Blonde,Spring,Casual,Campus,Mild & Pleasant,Polo shirt,Jogger pants,Espadrille sandals,"Beanie, scarf",Soft colors and flowy fabrics suit the occasion and body shape.
Male,Triangle,Olive,Blonde,Winter,Streetwear,Job Interview,Cold & Windy,Light blue oxford shirt,Navy chinos,White sneakers,"Straw hat, sunglasses",Colors are chosen to match your personal palette.
Female,Triangle,Tan,Black,Summer,Bohemian,Casual Outing,Sunny & Warm,Striped t-shirt,High-waisted denim shorts,White sneakers,Minimalist bracelet,The outfit is easy to mix and match.
Female,Hourglass,Olive,Brown,Autumn,Casual,Campus,Cold & Windy,Loose cotton tunic,High-waisted denim shorts,Flat sandals,Minimalist bracelet,Smart layers keep you dry and professional.
Female,Triangle,Medium,Brown,Summer,Streetwear,Hangout,Rainy & Cool,Oversized hoodie,Navy chinos,Slip-on shoes,"Beanie, scarf",The outfit is easy to mix and match.
Female,Triangle,Medium,Gray,Spring,Streetwear,Casual Outing,Cold & Windy,White linen blouse,Slim-fit jeans,Espadrille sandals,"Pearl earrings, clutch bag",Layering keeps you warm and stylish for casual outings.
Female,Apple,Dark,Blonde,Summer,Streetwear,Formal Meeting,Mild & Pleasant,Oversized hoodie,High-waisted denim shorts,High-top sneakers,"Beanie, scarf",Light fabrics keep you cool and accessories protect from the sun.
Male,Pear,Tan,Black,Spring,Formal,Job Interview,Cold & Windy,White linen blouse,Wide-leg linen pants,Ballet flats,Silk scarf,Colors are chosen to match your personal palette.
Female,Triangle,Medium,Brown,Summer,Bohemian,Travel,Rainy & Cool,Denim jacket,A-line floral skirt,Espadrille sandals,"Leather backpack, watch",Accessories add a personal touch to your look.
Male,Rectangle,Tan,Red,Winter,Casual,Formal Meeting,Rainy & Cool,White linen blouse,High-waisted denim shorts,Slip-on shoes,"Pearl earrings, clutch bag",Accessories add a personal touch to your look.
Male,Pear,Medium,Brown,Autumn,Casual,Travel,Cold & Windy,Oversized hoodie,A-line floral skirt,White sneakers,"Straw hat, sunglasses",Soft colors and flowy fabrics suit the occasion and body shape.
Male,Pear,Light,Gray,Winter,Elegant,Formal Meeting,Hot & Humid,Light blue oxford shirt,High-waisted denim shorts,Brown loafers,Statement necklace,Smart layers keep you dry and professional.
Male,Pear,Tan,Black,Spring,Streetwear,Travel,Hot & Humid,Striped t-shirt,Jogger pants,Nude heels,Silk scarf,Layering keeps you warm and stylish for casual outings.
Female,Apple,Olive,Blonde,Autumn,Casual,Job Interview,Sunny & Warm,Striped t-shirt,High-waisted denim shorts,Slip-on shoes,"Waterproof trench coat, leather belt",Light fabrics keep you cool and accessories protect from the sun.
Male,Pear,Light,Blonde,Winter,Casual,Job Interview,Sunny & Warm,Flowy tank top,Maxi skirt,Black boots,"Pearl earrings, clutch bag",Accessories add a personal touch to your look.
Female,Pear,Olive,Brown,Autumn,Casual,Campus,Hot & Humid,Flowy tank top,Cargo pants,Black boots,"Waterproof trench coat, leather belt",The outfit is easy to mix and match.
Female,Pear,Medium,Black,Winter,Formal,Job Interview,Mild & Pleasant,White linen blouse,Cargo pants,White sneakers,"Crossbody bag, floppy hat",Breathable fabrics and loose fits are perfect for travel in hot weather.
Female,Hourglass,Olive,Blonde,Autumn,Streetwear,Wedding Invitation,Rainy & Cool,Light blue oxford shirt,Slim-fit jeans,Slip-on shoes,"Leather backpack, watch",Smart layers keep you dry and professional.
Male,Triangle,Medium,Gray,Spring,Elegant,Travel,Sunny & Warm,Polo shirt,Cargo pants,Slip-on shoes,"Leather backpack, watch",Accessories add a personal touch to your look.
Female,Rectangle,Olive,Black,Spring,Elegant,Travel,Rainy & Cool,Striped t-shirt,Navy chinos,Nude heels,"Pearl earrings, clutch bag",Accessories add a personal touch to your look.
Male,Apple,Medium,Red,Autumn,Elegant,Casual Outing,Sunny & Warm,Loose cotton tunic,Navy chinos,Brown loafers,Silk scarf,Soft colors and flowy fabrics suit the occasion and body shape.
Female,Hourglass,Dark,Gray,Summer,Casual,Formal Meeting,Cold & Windy,Polo shirt,Wide-leg linen pants,Flat sandals,"Crossbody bag, floppy hat",Breathable fabrics and loose fits are perfect for travel in hot weather.
Male,Apple,Dark,Black,Summer,Elegant,Formal Meeting,Hot & Humid,Denim jacket,High-waisted denim shorts,Slip-on shoes,Statement necklace,Breathable fabrics and loose fits are perfect for travel in hot weather.
Female,Hourglass,Dark,Gray,Autumn,Formal,Hangout,Rainy & Cool,Striped t-shirt,Slim-fit jeans,Brown loafers,Statement necklace,Smart layers keep you dry and professional.
Male,Apple,Tan,Red,Autumn,Casual,Formal Meeting,Rainy & Cool,Oversized hoodie,Slim-fit jeans,Ballet flats,"Straw hat, sunglasses",Light fabrics keep you cool and accessories protect from the sun.
Female,Rectangle,Dark,Gray,Summer,Smart Casual,Beach,Mild & Pleasant,Denim jacket,High-waisted denim shorts,Brown loafers,Silk scarf,Soft colors and flowy fabrics suit the occasion and body shape.
Female,Apple,Olive,Brown,Spring,Streetwear,Formal Meeting,Mild & Pleasant,Pastel silk blouse,Cargo pants,Black boots,Minimalist bracelet,Smart layers keep you dry and professional.
Female,Triangle,Medium,Gray,Summer,Bohemian,Casual Outing,Rainy & Cool,Striped t-shirt,Maxi skirt,Brown loafers,Minimalist bracelet,Soft colors and flowy fabrics suit the occasion and body shape.
Male,Pear,Dark,Red,Winter,Elegant,Casual Outing,Sunny & Warm,Polo shirt,High-waisted denim shorts,Slip-on shoes,Statement necklace,Classic pieces ensure comfort and style.
